SKU,month,site_id,production_volume,batch_count,batch_yield_avg_pct,rft_pct,schedule_adherence_pct,avg_cycle_time_hr,formulation_lead_time_hr,deviations_per_100_batches,alarms_per_1000_hours,lab_turnaround_median_days,supplier_otif_pct,oee_packaging_pct,target_otif_pct,target_rft_pct,target_oee_packaging_pct,OTIF_RAG,RFT_RAG,OEE_RAG
SKU_123,2025-01,MCLS-PLANT-02,4523180,30,98.12,82.35,96.5,16.85,15.92,6.5,42.15,1.52,96,84.2,95,92,80,Green,Red,Green
SKU_123,2025-02,MCLS-PLANT-02,1892456,28,98.45,70.15,98.2,19.25,18.45,18.5,28.75,1.48,82,76.8,95,92,80,Green,Red,Amber
SKU_123,2025-03,MCLS-PLANT-02,2654789,35,97.85,75.80,94.5,18.92,17.85,16.2,45.32,1.62,68,79.5,95,92,80,Amber,Red,Amber
SKU_123,2025-04,MCLS-PLANT-02,1625480,22,98.22,62.45,88.5,18.75,17.92,15.8,38.45,1.55,45,77.2,95,92,80,Red,Red,Amber
SKU_123,2025-05,MCLS-PLANT-02,2985620,26,97.65,71.25,97.8,17.85,16.95,20.5,29.85,1.58,70,75.8,95,92,80,Green,Red,Amber
SKU_123,2025-06,MCLS-PLANT-02,2015480,18,98.35,76.50,96.2,18.65,17.75,14.5,48.25,1.42,62,80.5,95,92,80,Green,Red,Green
SKU_123,2025-07,MCLS-PLANT-02,3654890,29,98.15,80.25,95.5,17.65,16.82,10.5,40.15,1.55,72,82.3,95,92,80,Amber,Red,Green
SKU_123,2025-08,MCLS-PLANT-02,4685420,33,97.25,78.50,93.8,17.95,17.15,12.5,42.65,1.65,56,80.8,95,92,80,Amber,Red,Green
SKU_123,2025-09,MCLS-PLANT-02,4325680,25,97.82,66.80,98.5,16.45,15.65,18.5,52.35,1.58,64,76.5,95,92,80,Green,Red,Amber
SKU_123,2025-10,MCLS-PLANT-02,2185640,31,98.25,70.15,86.5,18.85,18.25,12.5,46.25,1.52,55,84.5,95,92,80,Amber,Red,Green
SKU_456,2025-11,MCLS-PLANT-02,5425680,20,97.85,58.25,94.2,14.25,13.65,22.5,55.85,1.62,38,78.2,95,92,80,Amber,Red,Amber
SKU_456,2025-12,MCLS-PLANT-02,2545890,36,98.15,68.50,99.2,18.15,17.55,24.5,58.45,1.58,68,77.5,95,92,80,Green,Red,Amber
SKU_456,2026-01,MCLS-PLANT-02,115680,6,97.45,92.50,100,19.25,18.65,0,32.45,1.42,75,82.8,95,92,80,Green,Green,Green
SKU_123,2025-01,SODR-PLANT-03,3852140,28,97.45,78.25,92.8,18.25,17.45,10.5,52.35,1.75,94,78.5,95,92,80,Amber,Red,Amber
SKU_123,2025-02,SODR-PLANT-03,1625480,25,97.15,60.85,96.5,20.85,19.95,25.5,35.25,1.65,70,70.2,95,92,80,Green,Red,Red
SKU_123,2025-03,SODR-PLANT-03,2354680,32,96.85,68.45,90.5,20.25,19.45,23.5,50.85,1.78,55,72.8,95,92,80,Amber,Red,Red
SKU_123,2025-04,SODR-PLANT-03,1425380,20,97.35,55.25,80.5,19.95,19.25,22.8,44.25,1.62,35,71.5,95,92,80,Red,Red,Red
SKU_123,2025-05,SODR-PLANT-03,2685420,24,96.65,62.85,98.2,19.15,18.35,26.5,34.85,1.68,60,70.8,95,92,80,Green,Red,Red
SKU_123,2025-06,SODR-PLANT-03,1854680,16,97.45,67.50,93.8,20.05,19.25,22.5,55.45,1.52,52,73.5,95,92,80,Amber,Red,Red
SKU_123,2025-07,SODR-PLANT-03,3254890,27,97.35,72.85,91.5,19.15,18.42,15.5,45.65,1.68,60,75.8,95,92,80,Amber,Red,Amber
SKU_123,2025-08,SODR-PLANT-03,4125680,30,96.25,69.85,89.5,19.25,18.55,16.5,48.45,1.75,45,74.2,95,92,80,Amber,Red,Red
SKU_123,2025-09,SODR-PLANT-03,3854920,23,96.75,58.45,97.8,17.65,16.95,24.5,58.25,1.72,52,69.5,95,92,80,Green,Red,Red
SKU_123,2025-10,SODR-PLANT-03,1985640,28,97.25,61.85,80.2,20.15,19.85,17.5,50.85,1.62,48,78.5,95,92,80,Red,Red,Amber
SKU_456,2025-11,SODR-PLANT-03,4825680,18,96.65,48.25,89.5,15.25,14.65,28.5,62.45,1.72,28,71.8,95,92,80,Amber,Red,Red
SKU_456,2025-12,SODR-PLANT-03,2125890,32,97.25,58.85,95.8,19.45,18.85,30.5,64.25,1.68,55,71.2,95,92,80,Green,Red,Red
SKU_456,2026-01,SODR-PLANT-03,98560,5,96.25,80.45,100,20.85,20.15,0,38.65,1.52,65,76.5,95,92,80,Green,Red,Amber
