batch_id,step_id,step_code,step_name,sequence,step_start,step_end,duration_min,wait_before_min,target_temp_C,target_pH,equipment_id
B2025-00009,CHRG-1,CHRG,Charge,1,2025-01-17 17:00:00,2025-01-17 17:40:00,40,0,20,7.0,TAB-1
B2025-00009,MIX-2,MIX,Mix,2,2025-01-17 19:10:00,2025-01-17 21:36:00,146,90,22,7.0,TAB-1
B2025-00009,HEAT-3,HEAT,Heat,3,2025-01-17 21:36:00,2025-01-17 23:16:00,100,0,37,7.0,TAB-1
B2025-00009,FLT-4,FLT,Filter,4,2025-01-17 23:16:00,2025-01-17 23:49:00,33,0,20,7.0,TAB-1
B2025-00009,FILL-5,FILL,Fill/Pack,5,2025-01-17 23:49:00,2025-01-18 02:23:00,154,0,20,7.0,TAB-1
B2025-00010,CHRG-1,CHRG,Charge,1,2025-01-19 08:00:00,2025-01-19 09:09:00,69,0,20,7.0,TAB-1
B2025-00010,MIX-2,MIX,Mix,2,2025-01-19 09:09:00,2025-01-19 10:51:00,102,0,22,7.0,TAB-1
B2025-00010,HEAT-3,HEAT,Heat,3,2025-01-19 11:51:00,2025-01-19 13:01:00,70,60,37,7.0,TAB-1
B2025-00010,FLT-4,FLT,Filter,4,2025-01-19 14:31:00,2025-01-19 15:14:00,43,90,20,7.0,TAB-1
B2025-00010,FILL-5,FILL,Fill/Pack,5,2025-01-19 16:14:00,2025-01-19 18:25:00,131,60,20,7.0,TAB-1
B2025-00011,CHRG-1,CHRG,Charge,1,2025-01-19 13:00:00,2025-01-19 13:48:00,48,0,20,7.0,COAT-1
B2025-00011,MIX-2,MIX,Mix,2,2025-01-19 15:18:00,2025-01-19 17:25:00,127,90,22,7.0,COAT-1
B2025-00011,HEAT-3,HEAT,Heat,3,2025-01-19 17:25:00,2025-01-19 18:52:00,87,0,37,7.0,COAT-1
B2025-00011,FLT-4,FLT,Filter,4,2025-01-19 20:22:00,2025-01-19 21:04:00,42,90,20,7.0,COAT-1
B2025-00011,FILL-5,FILL,Fill/Pack,5,2025-01-19 21:34:00,2025-01-20 01:10:00,216,30,20,7.0,COAT-1
B2025-00012,CHRG-1,CHRG,Charge,1,2025-01-23 02:00:00,2025-01-23 02:30:00,30,0,20,7.0,COAT-1
B2025-00012,MIX-2,MIX,Mix,2,2025-01-23 03:00:00,2025-01-23 04:16:00,76,30,22,7.0,COAT-1
B2025-00012,HEAT-3,HEAT,Heat,3,2025-01-23 04:16:00,2025-01-23 06:31:00,135,0,37,7.0,COAT-1
B2025-00012,FLT-4,FLT,Filter,4,2025-01-23 07:31:00,2025-01-23 08:44:00,73,60,20,7.0,COAT-1
B2025-00012,FILL-5,FILL,Fill/Pack,5,2025-01-23 08:44:00,2025-01-23 11:31:00,167,0,20,7.0,COAT-1
B2025-00013,CHRG-1,CHRG,Charge,1,2025-01-25 21:00:00,2025-01-25 21:44:00,44,0,20,7.0,COAT-1
B2025-00013,MIX-2,MIX,Mix,2,2025-01-25 22:44:00,2025-01-26 00:46:00,122,60,22,7.0,COAT-1
B2025-00013,HEAT-3,HEAT,Heat,3,2025-01-26 00:46:00,2025-01-26 03:08:00,142,0,37,7.0,COAT-1
B2025-00013,FLT-4,FLT,Filter,4,2025-01-26 03:08:00,2025-01-26 03:29:00,21,0,20,7.0,COAT-1
B2025-00013,FILL-5,FILL,Fill/Pack,5,2025-01-26 03:29:00,2025-01-26 05:50:00,141,0,20,7.0,COAT-1
B2025-00014,CHRG-1,CHRG,Charge,1,2025-01-13 05:00:00,2025-01-13 06:13:00,73,0,20,7.0,F-301
B2025-00014,MIX-2,MIX,Mix,2,2025-01-13 07:13:00,2025-01-13 09:35:00,142,60,22,7.0,F-301
B2025-00014,HEAT-3,HEAT,Heat,3,2025-01-13 11:05:00,2025-01-13 12:53:00,108,90,37,7.0,F-301
B2025-00014,HOLD-4,HOLD,Hold,4,2025-01-13 13:23:00,2025-01-13 17:39:00,256,30,37,7.0,F-301
B2025-00014,COOL-5,COOL,Cool,5,2025-01-13 17:39:00,2025-01-13 19:37:00,118,0,5,7.0,F-301
B2025-00014,FLT-6,FLT,Filter,6,2025-01-13 19:37:00,2025-01-13 22:21:00,164,0,20,7.0,F-301
B2025-00014,FILL-7,FILL,Fill/Pack,7,2025-01-13 23:21:00,2025-01-14 02:59:00,218,60,20,7.0,F-301
B2025-00015,CHRG-1,CHRG,Charge,1,2025-01-13 21:00:00,2025-01-13 22:18:00,78,0,20,7.0,F-301
B2025-00015,MIX-2,MIX,Mix,2,2025-01-13 22:18:00,2025-01-14 03:07:00,289,0,22,7.0,F-301
B2025-00015,HEAT-3,HEAT,Heat,3,2025-01-14 03:37:00,2025-01-14 05:23:00,106,30,37,7.0,F-301
B2025-00015,HOLD-4,HOLD,Hold,4,2025-01-14 05:23:00,2025-01-14 08:39:00,196,0,37,7.0,F-301
B2025-00015,COOL-5,COOL,Cool,5,2025-01-14 09:09:00,2025-01-14 11:25:00,136,30,5,7.0,F-301
B2025-00015,FLT-6,FLT,Filter,6,2025-01-14 11:25:00,2025-01-14 12:46:00,81,0,20,7.0,F-301
B2025-00015,FILL-7,FILL,Fill/Pack,7,2025-01-14 12:46:00,2025-01-14 14:27:00,101,0,20,7.0,F-301
B2025-00016,CHRG-1,CHRG,Charge,1,2025-01-15 18:00:00,2025-01-15 19:23:00,83,0,20,7.0,C-201
B2025-00016,MIX-2,MIX,Mix,2,2025-01-15 19:23:00,2025-01-15 21:59:00,156,0,22,7.0,C-201
B2025-00016,HEAT-3,HEAT,Heat,3,2025-01-15 22:29:00,2025-01-16 00:08:00,99,30,37,7.0,C-201
B2025-00016,HOLD-4,HOLD,Hold,4,2025-01-16 01:38:00,2025-01-16 05:12:00,214,90,37,7.0,C-201
B2025-00016,COOL-5,COOL,Cool,5,2025-01-16 05:42:00,2025-01-16 07:01:00,79,30,5,7.0,C-201
B2025-00016,FLT-6,FLT,Filter,6,2025-01-16 07:01:00,2025-01-16 08:34:00,93,0,20,7.0,C-201
B2025-00016,FILL-7,FILL,Fill/Pack,7,2025-01-16 10:04:00,2025-01-16 12:36:00,152,90,20,7.0,C-201
B2025-00017,CHRG-1,CHRG,Charge,1,2025-01-17 18:00:00,2025-01-17 19:41:00,101,0,20,7.0,C-201
B2025-00017,MIX-2,MIX,Mix,2,2025-01-17 20:11:00,2025-01-17 23:06:00,175,30,22,7.0,C-201
B2025-00017,HEAT-3,HEAT,Heat,3,2025-01-17 23:06:00,2025-01-18 01:14:00,128,0,37,7.0,C-201
B2025-00017,HOLD-4,HOLD,Hold,4,2025-01-18 01:14:00,2025-01-18 05:34:00,260,0,37,7.0,C-201
B2025-00017,COOL-5,COOL,Cool,5,2025-01-18 05:34:00,2025-01-18 06:46:00,72,0,5,7.0,C-201
B2025-00017,FLT-6,FLT,Filter,6,2025-01-18 06:46:00,2025-01-18 08:28:00,102,0,20,7.0,C-201
B2025-00017,FILL-7,FILL,Fill/Pack,7,2025-01-18 08:28:00,2025-01-18 11:58:00,210,0,20,7.0,C-201
B2025-00018,CHRG-1,CHRG,Charge,1,2025-01-22 16:00:00,2025-01-22 17:11:00,71,0,20,7.0,VIAL-1
B2025-00018,MIX-2,MIX,Mix,2,2025-01-22 17:11:00,2025-01-22 19:42:00,151,0,22,7.0,VIAL-1
B2025-00018,HEAT-3,HEAT,Heat,3,2025-01-22 20:42:00,2025-01-22 22:10:00,88,60,37,7.0,VIAL-1
B2025-00018,HOLD-4,HOLD,Hold,4,2025-01-22 22:10:00,2025-01-23 02:31:00,261,0,37,7.0,VIAL-1
B2025-00018,COOL-5,COOL,Cool,5,2025-01-23 03:31:00,2025-01-23 04:10:00,39,60,5,7.0,VIAL-1
B2025-00018,FLT-6,FLT,Filter,6,2025-01-23 04:40:00,2025-01-23 06:24:00,104,30,20,7.0,VIAL-1
B2025-00018,FILL-7,FILL,Fill/Pack,7,2025-01-23 07:54:00,2025-01-23 10:38:00,164,90,20,7.0,VIAL-1
B2025-00019,CHRG-1,CHRG,Charge,1,2025-01-23 13:00:00,2025-01-23 16:27:00,207,0,20,7.0,VIAL-1
B2025-00019,MIX-2,MIX,Mix,2,2025-01-23 16:27:00,2025-01-23 18:18:00,111,0,22,7.0,VIAL-1
B2025-00019,HEAT-3,HEAT,Heat,3,2025-01-23 18:18:00,2025-01-23 20:12:00,114,0,37,7.0,VIAL-1
B2025-00019,HOLD-4,HOLD,Hold,4,2025-01-23 21:12:00,2025-01-24 00:44:00,212,60,37,7.0,VIAL-1
B2025-00019,COOL-5,COOL,Cool,5,2025-01-24 00:44:00,2025-01-24 01:59:00,75,0,5,7.0,VIAL-1
B2025-00019,FLT-6,FLT,Filter,6,2025-01-24 01:59:00,2025-01-24 04:29:00,150,0,20,7.0,VIAL-1
B2025-00019,FILL-7,FILL,Fill/Pack,7,2025-01-24 04:59:00,2025-01-24 09:09:00,250,30,20,7.0,VIAL-1
B2025-00020,CHRG-1,CHRG,Charge,1,2025-01-26 17:00:00,2025-01-26 18:06:00,66,0,20,7.0,VIAL-2
B2025-00020,MIX-2,MIX,Mix,2,2025-01-26 18:06:00,2025-01-26 21:15:00,189,0,22,7.0,VIAL-2
B2025-00020,HEAT-3,HEAT,Heat,3,2025-01-26 21:15:00,2025-01-26 23:18:00,123,0,37,7.0,VIAL-2
B2025-00020,HOLD-4,HOLD,Hold,4,2025-01-27 00:48:00,2025-01-27 05:25:00,277,90,37,7.0,VIAL-2
B2025-00020,COOL-5,COOL,Cool,5,2025-01-27 06:25:00,2025-01-27 08:49:00,144,60,5,7.0,VIAL-2
B2025-00020,FLT-6,FLT,Filter,6,2025-01-27 08:49:00,2025-01-27 10:44:00,115,0,20,7.0,VIAL-2
B2025-00020,FILL-7,FILL,Fill/Pack,7,2025-01-27 12:14:00,2025-01-27 15:20:00,186,90,20,7.0,VIAL-2
B2025-00021,CHRG-1,CHRG,Charge,1,2025-01-29 00:00:00,2025-01-29 01:45:00,105,0,20,7.0,VIAL-1
B2025-00021,MIX-2,MIX,Mix,2,2025-01-29 02:45:00,2025-01-29 06:50:00,245,60,22,7.0,VIAL-1
B2025-00021,HEAT-3,HEAT,Heat,3,2025-01-29 07:20:00,2025-01-29 08:21:00,61,30,37,7.0,VIAL-1
B2025-00021,HOLD-4,HOLD,Hold,4,2025-01-29 08:21:00,2025-01-29 12:48:00,267,0,37,7.0,VIAL-1
B2025-00021,COOL-5,COOL,Cool,5,2025-01-29 12:48:00,2025-01-29 14:10:00,82,0,5,7.0,VIAL-1
B2025-00021,FLT-6,FLT,Filter,6,2025-01-29 14:10:00,2025-01-29 16:49:00,159,0,20,7.0,VIAL-1
B2025-00021,FILL-7,FILL,Fill/Pack,7,2025-01-29 17:19:00,2025-01-29 20:05:00,166,30,20,7.0,VIAL-1
B2025-00022,CHRG-1,CHRG,Charge,1,2025-01-24 15:00:00,2025-01-24 16:09:00,69,0,20,7.0,VIAL-2
B2025-00022,MIX-2,MIX,Mix,2,2025-01-24 16:39:00,2025-01-24 18:31:00,112,30,22,7.0,VIAL-2
B2025-00022,HEAT-3,HEAT,Heat,3,2025-01-24 18:31:00,2025-01-24 20:31:00,120,0,37,7.0,VIAL-2
B2025-00022,HOLD-4,HOLD,Hold,4,2025-01-24 21:01:00,2025-01-25 00:44:00,223,30,37,7.0,VIAL-2
B2025-00022,COOL-5,COOL,Cool,5,2025-01-25 01:44:00,2025-01-25 03:39:00,115,60,5,7.0,VIAL-2
B2025-00022,FLT-6,FLT,Filter,6,2025-01-25 03:39:00,2025-01-25 06:15:00,156,0,20,7.0,VIAL-2
B2025-00022,FILL-7,FILL,Fill/Pack,7,2025-01-25 06:45:00,2025-01-25 09:50:00,185,30,20,7.0,VIAL-2
B2025-00023,CHRG-1,CHRG,Charge,1,2025-01-26 13:00:00,2025-01-26 14:44:00,104,0,20,7.0,VIAL-1
B2025-00023,MIX-2,MIX,Mix,2,2025-01-26 14:44:00,2025-01-26 19:05:00,261,0,22,7.0,VIAL-1
B2025-00023,HEAT-3,HEAT,Heat,3,2025-01-26 19:05:00,2025-01-26 21:45:00,160,0,37,7.0,VIAL-1
B2025-00023,HOLD-4,HOLD,Hold,4,2025-01-26 22:15:00,2025-01-27 02:20:00,245,30,37,7.0,VIAL-1
B2025-00023,COOL-5,COOL,Cool,5,2025-01-27 02:20:00,2025-01-27 03:37:00,77,0,5,7.0,VIAL-1
B2025-00023,FLT-6,FLT,Filter,6,2025-01-27 04:37:00,2025-01-27 06:52:00,135,60,20,7.0,VIAL-1
B2025-00023,FILL-7,FILL,Fill/Pack,7,2025-01-27 06:52:00,2025-01-27 09:01:00,129,0,20,7.0,VIAL-1
B2025-00024,CHRG-1,CHRG,Charge,1,2025-01-30 22:00:00,2025-01-30 23:41:00,101,0,20,7.0,VIAL-2
B2025-00024,MIX-2,MIX,Mix,2,2025-01-31 01:11:00,2025-01-31 03:53:00,162,90,22,7.0,VIAL-2
B2025-00024,HEAT-3,HEAT,Heat,3,2025-01-31 03:53:00,2025-01-31 06:26:00,153,0,37,7.0,VIAL-2
B2025-00024,HOLD-4,HOLD,Hold,4,2025-01-31 07:26:00,2025-01-31 13:19:00,353,60,37,7.0,VIAL-2
B2025-00024,COOL-5,COOL,Cool,5,2025-01-31 14:19:00,2025-01-31 15:37:00,78,60,5,7.0,VIAL-2
B2025-00024,FLT-6,FLT,Filter,6,2025-01-31 17:07:00,2025-01-31 18:52:00,105,90,20,7.0,VIAL-2
B2025-00024,FILL-7,FILL,Fill/Pack,7,2025-01-31 19:22:00,2025-01-31 21:54:00,152,30,20,7.0,VIAL-2
B2025-00025,CHRG-1,CHRG,Charge,1,2025-02-02 09:00:00,2025-02-02 09:55:00,55,0,20,7.0,VIAL-2
B2025-00025,MIX-2,MIX,Mix,2,2025-02-02 10:55:00,2025-02-02 14:10:00,195,60,22,7.0,VIAL-2
B2025-00025,HEAT-3,HEAT,Heat,3,2025-02-02 14:40:00,2025-02-02 16:07:00,87,30,37,7.0,VIAL-2
B2025-00025,HOLD-4,HOLD,Hold,4,2025-02-02 16:07:00,2025-02-02 19:32:00,205,0,37,7.0,VIAL-2
B2025-00025,COOL-5,COOL,Cool,5,2025-02-02 19:32:00,2025-02-02 21:06:00,94,0,5,7.0,VIAL-2
B2025-00025,FLT-6,FLT,Filter,6,2025-02-02 22:06:00,2025-02-03 00:40:00,154,60,20,7.0,VIAL-2
B2025-00025,FILL-7,FILL,Fill/Pack,7,2025-02-03 01:40:00,2025-02-03 03:57:00,137,60,20,7.0,VIAL-2
B2025-00026,CHRG-1,CHRG,Charge,1,2025-01-27 18:00:00,2025-01-27 20:12:00,132,0,20,7.0,COAT-1
B2025-00026,MIX-2,MIX,Mix,2,2025-01-27 21:42:00,2025-01-27 23:34:00,112,90,22,7.0,COAT-1
B2025-00026,HEAT-3,HEAT,Heat,3,2025-01-28 00:04:00,2025-01-28 01:35:00,91,30,37,7.0,COAT-1
B2025-00026,FLT-4,FLT,Filter,4,2025-01-28 02:05:00,2025-01-28 03:21:00,76,30,20,7.0,COAT-1
B2025-00026,FILL-5,FILL,Fill/Pack,5,2025-01-28 04:51:00,2025-01-28 08:25:00,214,90,20,7.0,COAT-1
B2025-00027,CHRG-1,CHRG,Charge,1,2025-01-29 06:00:00,2025-01-29 06:40:00,40,0,20,7.0,TAB-1
B2025-00027,MIX-2,MIX,Mix,2,2025-01-29 07:10:00,2025-01-29 10:41:00,211,30,22,7.0,TAB-1
B2025-00027,HEAT-3,HEAT,Heat,3,2025-01-29 10:41:00,2025-01-29 12:16:00,95,0,37,7.0,TAB-1
B2025-00027,FLT-4,FLT,Filter,4,2025-01-29 12:16:00,2025-01-29 13:02:00,46,0,20,7.0,TAB-1
B2025-00027,FILL-5,FILL,Fill/Pack,5,2025-01-29 14:02:00,2025-01-29 16:57:00,175,60,20,7.0,TAB-1
B2025-00028,CHRG-1,CHRG,Charge,1,2025-01-29 23:00:00,2025-01-30 00:10:00,70,0,20,7.0,COAT-1
B2025-00028,MIX-2,MIX,Mix,2,2025-01-30 00:10:00,2025-01-30 01:50:00,100,0,22,7.0,COAT-1
B2025-00028,HEAT-3,HEAT,Heat,3,2025-01-30 02:20:00,2025-01-30 03:46:00,86,30,37,7.0,COAT-1
B2025-00028,FLT-4,FLT,Filter,4,2025-01-30 03:46:00,2025-01-30 04:48:00,62,0,20,7.0,COAT-1
B2025-00028,FILL-5,FILL,Fill/Pack,5,2025-01-30 05:48:00,2025-01-30 08:19:00,151,60,20,7.0,COAT-1
B2025-00029,CHRG-1,CHRG,Charge,1,2025-01-30 01:00:00,2025-01-30 01:56:00,56,0,20,7.0,TAB-1
B2025-00029,MIX-2,MIX,Mix,2,2025-01-30 02:26:00,2025-01-30 04:50:00,144,30,22,7.0,TAB-1
B2025-00029,HEAT-3,HEAT,Heat,3,2025-01-30 06:20:00,2025-01-30 08:31:00,131,90,37,7.0,TAB-1
B2025-00029,FLT-4,FLT,Filter,4,2025-01-30 08:31:00,2025-01-30 09:06:00,35,0,20,7.0,TAB-1
B2025-00029,FILL-5,FILL,Fill/Pack,5,2025-01-30 09:06:00,2025-01-30 11:00:00,114,0,20,7.0,TAB-1
B2025-00030,CHRG-1,CHRG,Charge,1,2025-01-30 07:00:00,2025-01-30 07:40:00,40,0,20,7.0,COAT-1
B2025-00030,MIX-2,MIX,Mix,2,2025-01-30 07:40:00,2025-01-30 10:12:00,152,0,22,7.0,COAT-1
B2025-00030,HEAT-3,HEAT,Heat,3,2025-01-30 11:12:00,2025-01-30 12:37:00,85,60,37,7.0,COAT-1
B2025-00030,FLT-4,FLT,Filter,4,2025-01-30 14:07:00,2025-01-30 15:09:00,62,90,20,7.0,COAT-1
B2025-00030,FILL-5,FILL,Fill/Pack,5,2025-01-30 15:39:00,2025-01-30 17:22:00,103,30,20,7.0,COAT-1
B2025-00031,CHRG-1,CHRG,Charge,1,2025-01-26 20:00:00,2025-01-26 21:30:00,90,0,20,7.0,VIAL-2
B2025-00031,MIX-2,MIX,Mix,2,2025-01-26 22:30:00,2025-01-27 01:38:00,188,60,22,7.0,VIAL-2
B2025-00031,HEAT-3,HEAT,Heat,3,2025-01-27 01:38:00,2025-01-27 03:15:00,97,0,37,7.0,VIAL-2
B2025-00031,HOLD-4,HOLD,Hold,4,2025-01-27 04:15:00,2025-01-27 08:25:00,250,60,37,7.0,VIAL-2
B2025-00031,COOL-5,COOL,Cool,5,2025-01-27 08:25:00,2025-01-27 09:36:00,71,0,5,7.0,VIAL-2
B2025-00031,FLT-6,FLT,Filter,6,2025-01-27 09:36:00,2025-01-27 12:02:00,146,0,20,7.0,VIAL-2
B2025-00031,FILL-7,FILL,Fill/Pack,7,2025-01-27 13:32:00,2025-01-27 16:25:00,173,90,20,7.0,VIAL-2
B2025-00032,CHRG-1,CHRG,Charge,1,2025-01-26 21:00:00,2025-01-26 22:04:00,64,0,20,7.0,VIAL-2
B2025-00032,MIX-2,MIX,Mix,2,2025-01-26 22:04:00,2025-01-27 02:37:00,273,0,22,7.0,VIAL-2
B2025-00032,HEAT-3,HEAT,Heat,3,2025-01-27 04:07:00,2025-01-27 05:01:00,54,90,37,7.0,VIAL-2
B2025-00032,HOLD-4,HOLD,Hold,4,2025-01-27 05:01:00,2025-01-27 07:09:00,128,0,37,7.0,VIAL-2
B2025-00032,COOL-5,COOL,Cool,5,2025-01-27 07:39:00,2025-01-27 08:41:00,62,30,5,7.0,VIAL-2
B2025-00032,FLT-6,FLT,Filter,6,2025-01-27 08:41:00,2025-01-27 10:05:00,84,0,20,7.0,VIAL-2
B2025-00032,FILL-7,FILL,Fill/Pack,7,2025-01-27 11:35:00,2025-01-27 14:46:00,191,90,20,7.0,VIAL-2
B2025-00033,CHRG-1,CHRG,Charge,1,2025-01-29 12:00:00,2025-01-29 13:20:00,80,0,20,7.0,VIAL-1
B2025-00033,MIX-2,MIX,Mix,2,2025-01-29 13:50:00,2025-01-29 16:46:00,176,30,22,7.0,VIAL-1
B2025-00033,HEAT-3,HEAT,Heat,3,2025-01-29 16:46:00,2025-01-29 19:04:00,138,0,37,7.0,VIAL-1
