sample_id,batch_id,material_id,test_name,analyte,result_value,unit,spec_low,spec_high,result_status,sampled_ts,received_ts,approved_ts,analyst_id,tat_days
S-B2025-00006-Endotoxin,B2025-00006,FG-VA01,Endotoxin,EU/mL,0.031,EU/mL,0.0,0.25,PASS,2025-01-19 18:16:00,2025-01-19 23:16:00,2025-01-21 16:43:57.899218,AN017,1.9360867965046298
S-B2025-00006-Bioburden,B2025-00006,FG-VA01,Bioburden,CFU/mL,5.3714,CFU/mL,0.0,10.0,PASS,2025-01-19 18:16:00,2025-01-19 23:16:00,2025-01-21 16:43:57.899218,AN014,1.9360867965046298
S-B2025-00007-Assay,B2025-00007,FG-VA01,Assay,API,99.1834,%,95.0,105.0,PASS,2025-01-11 01:30:00,2025-01-11 03:30:00,2025-01-12 12:26:31.855529,AN007,1.4559242538078703
S-B2025-00007-Impurity A,B2025-00007,FG-VA01,Impurity A,Imp A,0.0316,%,0.0,0.5,PASS,2025-01-11 01:30:00,2025-01-11 03:30:00,2025-01-12 12:26:31.855529,AN008,1.4559242538078703
S-B2025-00007-pH,B2025-00007,FG-VA01,pH,pH,7.4418,,6.8,7.4,OOT,2025-01-11 01:30:00,2025-01-11 03:30:00,2025-01-12 12:26:31.855529,AN004,1.4559242538078703
S-B2025-00007-Endotoxin,B2025-00007,FG-VA01,Endotoxin,EU/mL,0.037,EU/mL,0.0,0.25,PASS,2025-01-11 01:30:00,2025-01-11 03:30:00,2025-01-12 12:26:31.855529,AN005,1.4559242538078703
S-B2025-00007-Bioburden,B2025-00007,FG-VA01,Bioburden,CFU/mL,0.8655,CFU/mL,0.0,10.0,PASS,2025-01-11 01:30:00,2025-01-11 03:30:00,2025-01-12 12:26:31.855529,AN003,1.4559242538078703
S-B2025-00008-Assay,B2025-00008,FG-VA01,Assay,API,98.9286,%,95.0,105.0,PASS,2025-01-17 21:43:00,2025-01-18 00:43:00,2025-01-19 03:37:09.251257,AN010,1.2459404080671297
S-B2025-00008-Impurity A,B2025-00008,FG-VA01,Impurity A,Imp A,0.0539,%,0.0,0.5,PASS,2025-01-17 21:43:00,2025-01-18 00:43:00,2025-01-19 03:37:09.251257,AN006,1.2459404080671297
S-B2025-00008-pH,B2025-00008,FG-VA01,pH,pH,7.1153,,6.8,7.4,PASS,2025-01-17 21:43:00,2025-01-18 00:43:00,2025-01-19 03:37:09.251257,AN012,1.2459404080671297
S-B2025-00008-Endotoxin,B2025-00008,FG-VA01,Endotoxin,EU/mL,0.0947,EU/mL,0.0,0.25,PASS,2025-01-17 21:43:00,2025-01-18 00:43:00,2025-01-19 03:37:09.251257,AN004,1.2459404080671297
S-B2025-00008-Bioburden,B2025-00008,FG-VA01,Bioburden,CFU/mL,0.2072,CFU/mL,0.0,10.0,PASS,2025-01-17 21:43:00,2025-01-18 00:43:00,2025-01-19 03:37:09.251257,AN002,1.2459404080671297
S-B2025-00009-Assay,B2025-00009,FG-SMALLM,Assay,API,97.9346,%,95.0,105.0,PASS,2025-01-18 01:23:00,2025-01-18 03:23:00,2025-01-19 14:01:53.802048,AN012,1.5270115977777778
S-B2025-00009-Impurity A,B2025-00009,FG-SMALLM,Impurity A,Imp A,0.1756,%,0.0,0.5,PASS,2025-01-18 01:23:00,2025-01-18 03:23:00,2025-01-19 14:01:53.802048,AN009,1.5270115977777778
S-B2025-00009-pH,B2025-00009,FG-SMALLM,pH,pH,7.214,,6.8,7.4,PASS,2025-01-18 01:23:00,2025-01-18 03:23:00,2025-01-19 14:01:53.802048,AN011,1.5270115977777778
S-B2025-00009-Endotoxin,B2025-00009,FG-SMALLM,Endotoxin,EU/mL,0.0045,EU/mL,0.0,0.25,PASS,2025-01-18 01:23:00,2025-01-18 03:23:00,2025-01-19 14:01:53.802048,AN015,1.5270115977777778
S-B2025-00009-Bioburden,B2025-00009,FG-SMALLM,Bioburden,CFU/mL,2.5761,CFU/mL,0.0,10.0,PASS,2025-01-18 01:23:00,2025-01-18 03:23:00,2025-01-19 14:01:53.802048,AN016,1.5270115977777778
S-B2025-00010-Assay,B2025-00010,FG-SMALLM,Assay,API,101.316,%,95.0,105.0,PASS,2025-01-19 11:25:00,2025-01-19 17:25:00,2025-01-21 12:52:19.714819,AN005,2.0606448474421293
S-B2025-00010-Impurity A,B2025-00010,FG-SMALLM,Impurity A,Imp A,0.2425,%,0.0,0.5,PASS,2025-01-19 11:25:00,2025-01-19 17:25:00,2025-01-21 12:52:19.714819,AN006,2.0606448474421293
S-B2025-00010-pH,B2025-00010,FG-SMALLM,pH,pH,7.1633,,6.8,7.4,PASS,2025-01-19 11:25:00,2025-01-19 17:25:00,2025-01-21 12:52:19.714819,AN016,2.0606448474421293
S-B2025-00010-Endotoxin,B2025-00010,FG-SMALLM,Endotoxin,EU/mL,0.015,EU/mL,0.0,0.25,PASS,2025-01-19 11:25:00,2025-01-19 17:25:00,2025-01-21 12:52:19.714819,AN006,2.0606448474421293
S-B2025-00010-Bioburden,B2025-00010,FG-SMALLM,Bioburden,CFU/mL,2.7214,CFU/mL,0.0,10.0,PASS,2025-01-19 11:25:00,2025-01-19 17:25:00,2025-01-21 12:52:19.714819,AN020,2.0606448474421293
S-B2025-00011-Assay,B2025-00011,FG-SMALLM,Assay,API,100.2042,%,95.0,105.0,PASS,2025-01-20 00:10:00,2025-01-20 06:10:00,2025-01-21 03:44:07.993171,AN005,1.1487036246643518
S-B2025-00011-Impurity A,B2025-00011,FG-SMALLM,Impurity A,Imp A,0.0889,%,0.0,0.5,PASS,2025-01-20 00:10:00,2025-01-20 06:10:00,2025-01-21 03:44:07.993171,AN014,1.1487036246643518
S-B2025-00011-pH,B2025-00011,FG-SMALLM,pH,pH,7.4417,,6.8,7.4,PASS,2025-01-20 00:10:00,2025-01-20 06:10:00,2025-01-21 03:44:07.993171,AN011,1.1487036246643518
S-B2025-00011-Endotoxin,B2025-00011,FG-SMALLM,Endotoxin,EU/mL,0.2617,EU/mL,0.0,0.25,OOT,2025-01-20 00:10:00,2025-01-20 06:10:00,2025-01-21 03:44:07.993171,AN017,1.1487036246643518
S-B2025-00011-Bioburden,B2025-00011,FG-SMALLM,Bioburden,CFU/mL,1.3075,CFU/mL,0.0,10.0,PASS,2025-01-20 00:10:00,2025-01-20 06:10:00,2025-01-21 03:44:07.993171,AN019,1.1487036246643518
S-B2025-00012-Assay,B2025-00012,FG-SMALLM,Assay,API,98.6804,%,95.0,105.0,PASS,2025-01-23 07:31:00,2025-01-23 13:31:00,2025-01-24 18:45:20.296008,AN020,1.4682904630555556
S-B2025-00012-Impurity A,B2025-00012,FG-SMALLM,Impurity A,Imp A,0.0224,%,0.0,0.5,PASS,2025-01-23 07:31:00,2025-01-23 13:31:00,2025-01-24 18:45:20.296008,AN008,1.4682904630555556
S-B2025-00012-pH,B2025-00012,FG-SMALLM,pH,pH,7.1477,,6.8,7.4,PASS,2025-01-23 07:31:00,2025-01-23 13:31:00,2025-01-24 18:45:20.296008,AN013,1.4682904630555556
S-B2025-00012-Endotoxin,B2025-00012,FG-SMALLM,Endotoxin,EU/mL,0.0541,EU/mL,0.0,0.25,PASS,2025-01-23 07:31:00,2025-01-23 13:31:00,2025-01-24 18:45:20.296008,AN020,1.4682904630555556
S-B2025-00012-Bioburden,B2025-00012,FG-SMALLM,Bioburden,CFU/mL,1.569,CFU/mL,0.0,10.0,PASS,2025-01-23 07:31:00,2025-01-23 13:31:00,2025-01-24 18:45:20.296008,AN006,1.4682904630555556
S-B2025-00013-Assay,B2025-00013,FG-SMALLM,Assay,API,100.5347,%,95.0,105.0,PASS,2025-01-25 21:50:00,2025-01-26 01:50:00,2025-01-27 22:06:51.712786,AN016,2.0117096387268516
S-B2025-00013-Impurity A,B2025-00013,FG-SMALLM,Impurity A,Imp A,0.1679,%,0.0,0.5,PASS,2025-01-25 21:50:00,2025-01-26 01:50:00,2025-01-27 22:06:51.712786,AN009,2.0117096387268516
S-B2025-00013-pH,B2025-00013,FG-SMALLM,pH,pH,7.3578,,6.8,7.4,PASS,2025-01-25 21:50:00,2025-01-26 01:50:00,2025-01-27 22:06:51.712786,AN013,2.0117096387268516
S-B2025-00013-Endotoxin,B2025-00013,FG-SMALLM,Endotoxin,EU/mL,0.0298,EU/mL,0.0,0.25,PASS,2025-01-25 21:50:00,2025-01-26 01:50:00,2025-01-27 22:06:51.712786,AN015,2.0117096387268516
S-B2025-00013-Bioburden,B2025-00013,FG-SMALLM,Bioburden,CFU/mL,0.75,CFU/mL,0.0,10.0,PASS,2025-01-25 21:50:00,2025-01-26 01:50:00,2025-01-27 22:06:51.712786,AN003,2.0117096387268516
S-B2025-00014-Assay,B2025-00014,FG-MAB1,Assay,API,100.4754,%,95.0,105.0,PASS,2025-01-13 18:59:00,2025-01-13 22:59:00,2025-01-15 04:32:37.168701,AN001,1.3983468599652777
S-B2025-00014-Impurity A,B2025-00014,FG-MAB1,Impurity A,Imp A,0.0984,%,0.0,0.5,PASS,2025-01-13 18:59:00,2025-01-13 22:59:00,2025-01-15 04:32:37.168701,AN018,1.3983468599652777
S-B2025-00014-pH,B2025-00014,FG-MAB1,pH,pH,6.9842,,6.8,7.4,PASS,2025-01-13 18:59:00,2025-01-13 22:59:00,2025-01-15 04:32:37.168701,AN020,1.3983468599652777
S-B2025-00014-Endotoxin,B2025-00014,FG-MAB1,Endotoxin,EU/mL,0.0469,EU/mL,0.0,0.25,PASS,2025-01-13 18:59:00,2025-01-13 22:59:00,2025-01-15 04:32:37.168701,AN017,1.3983468599652777
S-B2025-00014-Bioburden,B2025-00014,FG-MAB1,Bioburden,CFU/mL,3.1078,CFU/mL,0.0,10.0,PASS,2025-01-13 18:59:00,2025-01-13 22:59:00,2025-01-15 04:32:37.168701,AN015,1.3983468599652777
S-B2025-00015-Assay,B2025-00015,FG-MAB1,Assay,API,99.9032,%,95.0,105.0,PASS,2025-01-14 08:27:00,2025-01-14 11:27:00,2025-01-15 15:41:38.299032,AN015,1.3018321647222222
S-B2025-00015-Impurity A,B2025-00015,FG-MAB1,Impurity A,Imp A,0.0933,%,0.0,0.5,PASS,2025-01-14 08:27:00,2025-01-14 11:27:00,2025-01-15 15:41:38.299032,AN020,1.3018321647222222
S-B2025-00015-pH,B2025-00015,FG-MAB1,pH,pH,7.1638,,6.8,7.4,PASS,2025-01-14 08:27:00,2025-01-14 11:27:00,2025-01-15 15:41:38.299032,AN015,1.3018321647222222
S-B2025-00015-Endotoxin,B2025-00015,FG-MAB1,Endotoxin,EU/mL,0.0047,EU/mL,0.0,0.25,PASS,2025-01-14 08:27:00,2025-01-14 11:27:00,2025-01-15 15:41:38.299032,AN008,1.3018321647222222
S-B2025-00015-Bioburden,B2025-00015,FG-MAB1,Bioburden,CFU/mL,10.3851,CFU/mL,0.0,10.0,OOT,2025-01-14 08:27:00,2025-01-14 11:27:00,2025-01-15 15:41:38.299032,AN010,1.3018321647222222
S-B2025-00016-Assay,B2025-00016,FG-MAB1,Assay,API,100.4437,%,95.0,105.0,PASS,2025-01-16 06:36:00,2025-01-16 12:36:00,2025-01-18 09:34:39.462750,AN016,2.1240678559027777
S-B2025-00016-Impurity A,B2025-00016,FG-MAB1,Impurity A,Imp A,0.0906,%,0.0,0.5,PASS,2025-01-16 06:36:00,2025-01-16 12:36:00,2025-01-18 09:34:39.462750,AN014,2.1240678559027777
S-B2025-00016-pH,B2025-00016,FG-MAB1,pH,pH,6.9646,,6.8,7.4,PASS,2025-01-16 06:36:00,2025-01-16 12:36:00,2025-01-18 09:34:39.462750,AN007,2.1240678559027777
S-B2025-00016-Endotoxin,B2025-00016,FG-MAB1,Endotoxin,EU/mL,0.0449,EU/mL,0.0,0.25,PASS,2025-01-16 06:36:00,2025-01-16 12:36:00,2025-01-18 09:34:39.462750,AN007,2.1240678559027777
S-B2025-00016-Bioburden,B2025-00016,FG-MAB1,Bioburden,CFU/mL,1.6418,CFU/mL,0.0,10.0,PASS,2025-01-16 06:36:00,2025-01-16 12:36:00,2025-01-18 09:34:39.462750,AN011,2.1240678559027777
S-B2025-00017-Assay,B2025-00017,FG-MAB1,Assay,API,100.916,%,95.0,105.0,PASS,2025-01-18 09:58:00,2025-01-18 13:58:00,2025-01-20 00:39:00.644075,AN019,1.6118130101273147
S-B2025-00017-Impurity A,B2025-00017,FG-MAB1,Impurity A,Imp A,0.2096,%,0.0,0.5,PASS,2025-01-18 09:58:00,2025-01-18 13:58:00,2025-01-20 00:39:00.644075,AN015,1.6118130101273147
S-B2025-00017-pH,B2025-00017,FG-MAB1,pH,pH,7.2982,,6.8,7.4,PASS,2025-01-18 09:58:00,2025-01-18 13:58:00,2025-01-20 00:39:00.644075,AN005,1.6118130101273147
S-B2025-00017-Endotoxin,B2025-00017,FG-MAB1,Endotoxin,EU/mL,0.3083,EU/mL,0.0,0.25,OOS,2025-01-18 09:58:00,2025-01-18 13:58:00,2025-01-20 00:39:00.644075,AN002,1.6118130101273147
S-B2025-00017-Bioburden,B2025-00017,FG-MAB1,Bioburden,CFU/mL,3.1634,CFU/mL,0.0,10.0,PASS,2025-01-18 09:58:00,2025-01-18 13:58:00,2025-01-20 00:39:00.644075,AN019,1.6118130101273147
S-B2025-00018-Assay,B2025-00018,FG-VA01,Assay,API,99.5525,%,95.0,105.0,PASS,2025-01-23 02:38:00,2025-01-23 07:38:00,2025-01-24 15:58:56.069913,AN019,1.5562045128819446
S-B2025-00018-Impurity A,B2025-00018,FG-VA01,Impurity A,Imp A,0.0375,%,0.0,0.5,PASS,2025-01-23 02:38:00,2025-01-23 07:38:00,2025-01-24 15:58:56.069913,AN004,1.5562045128819446
S-B2025-00018-pH,B2025-00018,FG-VA01,pH,pH,7.0048,,6.8,7.4,PASS,2025-01-23 02:38:00,2025-01-23 07:38:00,2025-01-24 15:58:56.069913,AN011,1.5562045128819446
S-B2025-00018-Endotoxin,B2025-00018,FG-VA01,Endotoxin,EU/mL,0.0222,EU/mL,0.0,0.25,PASS,2025-01-23 02:38:00,2025-01-23 07:38:00,2025-01-24 15:58:56.069913,AN020,1.5562045128819446
S-B2025-00018-Bioburden,B2025-00018,FG-VA01,Bioburden,CFU/mL,3.0818,CFU/mL,0.0,10.0,PASS,2025-01-23 02:38:00,2025-01-23 07:38:00,2025-01-24 15:58:56.069913,AN009,1.5562045128819446
S-B2025-00019-Assay,B2025-00019,FG-VA01,Assay,API,100.0523,%,95.0,105.0,PASS,2025-01-24 02:09:00,2025-01-24 05:09:00,2025-01-25 11:10:25.267564,AN005,1.3759868931018517
S-B2025-00019-Impurity A,B2025-00019,FG-VA01,Impurity A,Imp A,0.0776,%,0.0,0.5,PASS,2025-01-24 02:09:00,2025-01-24 05:09:00,2025-01-25 11:10:25.267564,AN017,1.3759868931018517
S-B2025-00019-pH,B2025-00019,FG-VA01,pH,pH,6.7713,,6.8,7.4,PASS,2025-01-24 02:09:00,2025-01-24 05:09:00,2025-01-25 11:10:25.267564,AN011,1.3759868931018517
S-B2025-00019-Endotoxin,B2025-00019,FG-VA01,Endotoxin,EU/mL,0.0812,EU/mL,0.0,0.25,PASS,2025-01-24 02:09:00,2025-01-24 05:09:00,2025-01-25 11:10:25.267564,AN007,1.3759868931018517
S-B2025-00019-Bioburden,B2025-00019,FG-VA01,Bioburden,CFU/mL,0.9826,CFU/mL,0.0,10.0,PASS,2025-01-24 02:09:00,2025-01-24 05:09:00,2025-01-25 11:10:25.267564,AN010,1.3759868931018517
S-B2025-00020-Assay,B2025-00020,FG-VA01,Assay,API,99.0863,%,95.0,105.0,PASS,2025-01-27 09:20:00,2025-01-27 15:20:00,2025-01-29 10:41:53.229390,AN006,2.0568660809027777
S-B2025-00020-Impurity A,B2025-00020,FG-VA01,Impurity A,Imp A,0.0114,%,0.0,0.5,PASS,2025-01-27 09:20:00,2025-01-27 15:20:00,2025-01-29 10:41:53.229390,AN011,2.0568660809027777
S-B2025-00020-pH,B2025-00020,FG-VA01,pH,pH,7.1163,,6.8,7.4,PASS,2025-01-27 09:20:00,2025-01-27 15:20:00,2025-01-29 10:41:53.229390,AN018,2.0568660809027777
S-B2025-00020-Endotoxin,B2025-00020,FG-VA01,Endotoxin,EU/mL,0.0382,EU/mL,0.0,0.25,PASS,2025-01-27 09:20:00,2025-01-27 15:20:00,2025-01-29 10:41:53.229390,AN014,2.0568660809027777
S-B2025-00020-Bioburden,B2025-00020,FG-VA01,Bioburden,CFU/mL,2.9346,CFU/mL,0.0,10.0,PASS,2025-01-27 09:20:00,2025-01-27 15:20:00,2025-01-29 10:41:53.229390,AN018,2.0568660809027777
S-B2025-00021-Assay,B2025-00021,FG-VA01,Assay,API,99.9073,%,95.0,105.0,PASS,2025-01-29 15:05:00,2025-01-29 19:05:00,2025-01-31 00:39:43.351961,AN001,1.3991128699189814
S-B2025-00021-Impurity A,B2025-00021,FG-VA01,Impurity A,Imp A,0.1135,%,0.0,0.5,PASS,2025-01-29 15:05:00,2025-01-29 19:05:00,2025-01-31 00:39:43.351961,AN002,1.3991128699189814
S-B2025-00021-pH,B2025-00021,FG-VA01,pH,pH,7.0301,,6.8,7.4,PASS,2025-01-29 15:05:00,2025-01-29 19:05:00,2025-01-31 00:39:43.351961,AN006,1.3991128699189814
S-B2025-00021-Endotoxin,B2025-00021,FG-VA01,Endotoxin,EU/mL,0.0405,EU/mL,0.0,0.25,PASS,2025-01-29 15:05:00,2025-01-29 19:05:00,2025-01-31 00:39:43.351961,AN005,1.3991128699189814
S-B2025-00021-Bioburden,B2025-00021,FG-VA01,Bioburden,CFU/mL,0.575,CFU/mL,0.0,10.0,PASS,2025-01-29 15:05:00,2025-01-29 19:05:00,2025-01-31 00:39:43.351961,AN010,1.3991128699189814
S-B2025-00022-Assay,B2025-00022,FG-VA01,Assay,API,100.7161,%,95.0,105.0,PASS,2025-01-25 05:50:00,2025-01-25 10:50:00,2025-01-27 08:15:53.713898,AN004,2.1013161330787034
S-B2025-00022-Impurity A,B2025-00022,FG-VA01,Impurity A,Imp A,0.0741,%,0.0,0.5,PASS,2025-01-25 05:50:00,2025-01-25 10:50:00,2025-01-27 08:15:53.713898,AN018,2.1013161330787034
S-B2025-00022-pH,B2025-00022,FG-VA01,pH,pH,7.0521,,6.8,7.4,PASS,2025-01-25 05:50:00,2025-01-25 10:50:00,2025-01-27 08:15:53.713898,AN018,2.1013161330787034
S-B2025-00022-Endotoxin,B2025-00022,FG-VA01,Endotoxin,EU/mL,0.0418,EU/mL,0.0,0.25,PASS,2025-01-25 05:50:00,2025-01-25 10:50:00,2025-01-27 08:15:53.713898,AN010,2.1013161330787034
S-B2025-00022-Bioburden,B2025-00022,FG-VA01,Bioburden,CFU/mL,0.0289,CFU/mL,0.0,10.0,PASS,2025-01-25 05:50:00,2025-01-25 10:50:00,2025-01-27 08:15:53.713898,AN013,2.1013161330787034
S-B2025-00023-Assay,B2025-00023,FG-VA01,Assay,API,99.2489,%,95.0,105.0,PASS,2025-01-27 02:01:00,2025-01-27 06:01:00,2025-01-28 19:00:32.499411,AN011,1.7080150394791667
S-B2025-00023-Impurity A,B2025-00023,FG-VA01,Impurity A,Imp A,0.0212,%,0.0,0.5,PASS,2025-01-27 02:01:00,2025-01-27 06:01:00,2025-01-28 19:00:32.499411,AN009,1.7080150394791667
S-B2025-00023-pH,B2025-00023,FG-VA01,pH,pH,7.0192,,6.8,7.4,PASS,2025-01-27 02:01:00,2025-01-27 06:01:00,2025-01-28 19:00:32.499411,AN015,1.7080150394791667
S-B2025-00023-Endotoxin,B2025-00023,FG-VA01,Endotoxin,EU/mL,0.0797,EU/mL,0.0,0.25,PASS,2025-01-27 02:01:00,2025-01-27 06:01:00,2025-01-28 19:00:32.499411,AN012,1.7080150394791667
S-B2025-00023-Bioburden,B2025-00023,FG-VA01,Bioburden,CFU/mL,2.4941,CFU/mL,0.0,10.0,PASS,2025-01-27 02:01:00,2025-01-27 06:01:00,2025-01-28 19:00:32.499411,AN020,1.7080150394791667
S-B2025-00024-Assay,B2025-00024,FG-VA01,Assay,API,101.8689,%,95.0,105.0,PASS,2025-01-31 17:54:00,2025-01-31 23:54:00,2025-02-02 23:05:19.420933,AN006,2.2161970015393515
S-B2025-00024-Impurity A,B2025-00024,FG-VA01,Impurity A,Imp A,0.0769,%,0.0,0.5,PASS,2025-01-31 17:54:00,2025-01-31 23:54:00,2025-02-02 23:05:19.420933,AN006,2.2161970015393515
S-B2025-00024-pH,B2025-00024,FG-VA01,pH,pH,7.1945,,6.8,7.4,PASS,2025-01-31 17:54:00,2025-01-31 23:54:00,2025-02-02 23:05:19.420933,AN002,2.2161970015393515
S-B2025-00024-Endotoxin,B2025-00024,FG-VA01,Endotoxin,EU/mL,0.0079,EU/mL,0.0,0.25,PASS,2025-01-31 17:54:00,2025-01-31 23:54:00,2025-02-02 23:05:19.420933,AN005,2.2161970015393515
S-B2025-00024-Bioburden,B2025-00024,FG-VA01,Bioburden,CFU/mL,0.6095,CFU/mL,0.0,10.0,PASS,2025-01-31 17:54:00,2025-01-31 23:54:00,2025-02-02 23:05:19.420933,AN001,2.2161970015393515
