move_id,batch_id,material_id,qty_issued,uom,issue_date,storage_location,lot_id
GM-2025-000028,B2025-00003,RM-014,66.62,L,2025-01-07 14:00:00,COLD,LOT-RM-011-0007
GM-2025-000029,B2025-00003,RM-005,63.37,pcs,2025-01-08 12:00:00,RAW2,LOT-RM-010-0214
GM-2025-000030,B2025-00004,RM-015,67.11,L,2025-01-11 19:00:00,RAW2,LOT-RM-009-0113
GM-2025-000031,B2025-00004,RM-016,31.93,L,2025-01-12 21:00:00,RAW2,LOT-RM-002-0038
GM-2025-000032,B2025-00004,RM-003,24.7,kg,2025-01-11 04:00:00,COLD,LOT-RM-001-0063
GM-2025-000033,B2025-00004,RM-008,35.66,kg,2025-01-11 05:00:00,HAZ,LOT-RM-013-0215
GM-2025-000034,B2025-00004,RM-017,34.96,pcs,2025-01-12 08:00:00,HAZ,LOT-RM-021-0143
GM-2025-000035,B2025-00004,RM-009,52.31,pcs,2025-01-12 15:00:00,RAW2,LOT-RM-025-0106
GM-2025-000036,B2025-00004,RM-022,45.47,pcs,2025-01-11 15:00:00,HAZ,LOT-RM-017-0161
GM-2025-000037,B2025-00004,RM-005,61.9,pcs,2025-01-12 16:00:00,HAZ,LOT-RM-013-0192
GM-2025-000038,B2025-00005,RM-018,57.05,kg,2025-01-20 17:00:00,COLD,LOT-RM-025-0206
GM-2025-000039,B2025-00005,RM-020,68.63,pcs,2025-01-19 12:00:00,HAZ,LOT-RM-011-0095
GM-2025-000040,B2025-00005,RM-025,77.45,pcs,2025-01-19 19:00:00,RAW2,LOT-RM-023-0082
GM-2025-000041,B2025-00005,RM-003,53.52,kg,2025-01-20 06:00:00,COLD,LOT-RM-006-0020
GM-2025-000042,B2025-00005,RM-017,51.5,pcs,2025-01-20 16:00:00,RAW2,LOT-RM-023-0083
GM-2025-000043,B2025-00005,RM-009,53.47,pcs,2025-01-20 16:00:00,RAW2,LOT-RM-022-0204
GM-2025-000044,B2025-00005,RM-012,67.89,pcs,2025-01-20 06:00:00,RAW2,LOT-RM-011-0025
GM-2025-000045,B2025-00005,RM-008,55.49,kg,2025-01-20 04:00:00,HAZ,LOT-RM-012-0138
GM-2025-000046,B2025-00005,RM-002,46.57,pcs,2025-01-19 16:00:00,RAW1,LOT-RM-001-0207
GM-2025-000047,B2025-00006,RM-010,46.39,kg,2025-01-20 23:00:00,COLD,LOT-RM-004-0184
GM-2025-000048,B2025-00006,RM-021,76.12,kg,2025-01-20 21:00:00,RAW2,LOT-RM-020-0120
GM-2025-000049,B2025-00006,RM-016,36.81,L,2025-01-19 18:00:00,RAW1,LOT-RM-019-0118
GM-2025-000050,B2025-00006,RM-005,60.44,pcs,2025-01-20 16:00:00,HAZ,LOT-RM-002-0128
GM-2025-000051,B2025-00006,RM-009,47.21,pcs,2025-01-20 14:00:00,HAZ,LOT-RM-022-0017
GM-2025-000052,B2025-00006,RM-008,41.37,kg,2025-01-19 11:00:00,RAW1,LOT-RM-021-0144
GM-2025-000053,B2025-00006,RM-018,43.36,kg,2025-01-20 05:00:00,RAW1,LOT-RM-008-0230
GM-2025-000054,B2025-00006,RM-012,45.37,pcs,2025-01-19 23:00:00,HAZ,LOT-RM-001-0223
GM-2025-000055,B2025-00007,RM-017,59.67,pcs,2025-01-10 12:00:00,COLD,LOT-RM-022-0017
GM-2025-000056,B2025-00007,RM-022,73.62,pcs,2025-01-12 06:00:00,COLD,LOT-RM-024-0146
GM-2025-000057,B2025-00007,RM-023,56.32,kg,2025-01-11 00:00:00,RAW1,LOT-RM-002-0183
GM-2025-000058,B2025-00007,RM-019,51.06,pcs,2025-01-11 22:00:00,HAZ,LOT-RM-007-0111
GM-2025-000059,B2025-00007,RM-020,68.45,pcs,2025-01-12 05:00:00,RAW2,LOT-RM-020-0102
GM-2025-000060,B2025-00007,RM-009,20.74,pcs,2025-01-10 21:00:00,HAZ,LOT-RM-017-0080
GM-2025-000061,B2025-00007,RM-014,60.5,L,2025-01-11 18:00:00,COLD,LOT-RM-024-0085
GM-2025-000062,B2025-00008,RM-001,36.8,pcs,2025-01-18 14:00:00,HAZ,LOT-RM-025-0037
GM-2025-000063,B2025-00008,RM-023,53.25,kg,2025-01-18 12:00:00,COLD,LOT-RM-023-0221
GM-2025-000064,B2025-00008,RM-025,87.69,pcs,2025-01-17 02:00:00,RAW1,LOT-RM-002-0183
GM-2025-000065,B2025-00008,RM-008,43.76,kg,2025-01-19 02:00:00,COLD,LOT-RM-007-0151
GM-2025-000066,B2025-00008,RM-003,16.63,kg,2025-01-17 09:00:00,RAW1,LOT-RM-015-0158
GM-2025-000067,B2025-00008,RM-007,39.41,kg,2025-01-17 06:00:00,HAZ,LOT-RM-009-0187
GM-2025-000068,B2025-00008,RM-005,46.49,pcs,2025-01-17 12:00:00,RAW2,LOT-RM-003-0064
GM-2025-000069,B2025-00008,RM-021,81.49,kg,2025-01-18 16:00:00,RAW2,LOT-RM-010-0214
GM-2025-000070,B2025-00009,RM-004,65.74,kg,2025-01-17 18:00:00,HAZ,LOT-RM-009-0187
GM-2025-000071,B2025-00009,RM-011,51.67,L,2025-01-18 00:00:00,COLD,LOT-RM-009-0023
GM-2025-000072,B2025-00009,RM-012,64.72,pcs,2025-01-17 23:00:00,HAZ,LOT-RM-024-0147
GM-2025-000073,B2025-00009,RM-007,59.95,kg,2025-01-19 13:00:00,HAZ,LOT-RM-001-0207
GM-2025-000074,B2025-00009,RM-005,64.94,pcs,2025-01-18 19:00:00,HAZ,LOT-RM-024-0179
GM-2025-000075,B2025-00009,RM-006,36.71,kg,2025-01-18 23:00:00,RAW2,LOT-RM-019-0217
GM-2025-000076,B2025-00009,RM-025,66.23,pcs,2025-01-18 14:00:00,RAW2,LOT-RM-011-0025
GM-2025-000077,B2025-00010,RM-022,52.55,pcs,2025-01-20 06:00:00,RAW2,LOT-RM-001-0182
GM-2025-000078,B2025-00010,RM-025,58.9,pcs,2025-01-20 11:00:00,COLD,LOT-RM-002-0128
GM-2025-000079,B2025-00010,RM-013,65.08,L,2025-01-19 13:00:00,RAW2,LOT-RM-009-0067
GM-2025-000080,B2025-00010,RM-018,55.03,kg,2025-01-20 09:00:00,RAW2,LOT-RM-022-0059
GM-2025-000081,B2025-00010,RM-009,49.86,pcs,2025-01-20 06:00:00,RAW1,LOT-RM-003-0087
GM-2025-000082,B2025-00010,RM-024,56.11,L,2025-01-20 12:00:00,RAW1,LOT-RM-010-0135
GM-2025-000083,B2025-00010,RM-012,60.3,pcs,2025-01-20 00:00:00,RAW1,LOT-RM-003-0226
GM-2025-000084,B2025-00010,RM-015,64.97,L,2025-01-20 22:00:00,RAW1,LOT-RM-021-0143
GM-2025-000085,B2025-00010,RM-002,45.15,pcs,2025-01-19 11:00:00,COLD,LOT-RM-011-0025
GM-2025-000086,B2025-00011,RM-003,47.37,kg,2025-01-19 13:00:00,RAW1,LOT-RM-003-0002
GM-2025-000087,B2025-00011,RM-012,52.22,pcs,2025-01-20 09:00:00,HAZ,LOT-RM-017-0079
GM-2025-000088,B2025-00011,RM-008,51.46,kg,2025-01-19 14:00:00,COLD,LOT-RM-021-0220
GM-2025-000089,B2025-00011,RM-024,49.41,L,2025-01-19 17:00:00,RAW2,LOT-RM-012-0049
GM-2025-000090,B2025-00011,RM-022,65.6,pcs,2025-01-21 05:00:00,HAZ,LOT-RM-011-0047
GM-2025-000091,B2025-00011,RM-023,50.68,kg,2025-01-20 23:00:00,RAW2,LOT-RM-004-0089
GM-2025-000092,B2025-00011,RM-015,50.13,L,2025-01-19 19:00:00,RAW2,LOT-RM-012-0154
GM-2025-000093,B2025-00012,RM-019,48.76,pcs,2025-01-24 14:00:00,RAW2,LOT-RM-007-0229
GM-2025-000094,B2025-00012,RM-012,59.41,pcs,2025-01-24 06:00:00,RAW2,LOT-RM-003-0130
GM-2025-000095,B2025-00012,RM-003,36.77,kg,2025-01-23 11:00:00,HAZ,LOT-RM-011-0008
GM-2025-000096,B2025-00012,RM-011,58.52,L,2025-01-24 17:00:00,RAW1,LOT-RM-018-0240
GM-2025-000097,B2025-00012,RM-025,73.51,pcs,2025-01-24 12:00:00,RAW1,LOT-RM-001-0207
GM-2025-000098,B2025-00012,RM-010,38.76,kg,2025-01-23 21:00:00,COLD,LOT-RM-014-0028
GM-2025-000099,B2025-00012,RM-018,61.52,kg,2025-01-24 00:00:00,RAW2,LOT-RM-009-0152
GM-2025-000100,B2025-00012,RM-013,62.41,L,2025-01-24 11:00:00,RAW2,LOT-RM-009-0231
GM-2025-000101,B2025-00012,RM-002,56.3,pcs,2025-01-23 08:00:00,HAZ,LOT-RM-014-0050
GM-2025-000102,B2025-00012,RM-022,57.99,pcs,2025-01-24 16:00:00,RAW2,LOT-RM-014-0157
GM-2025-000103,B2025-00013,RM-023,62.3,kg,2025-01-27 02:00:00,HAZ,LOT-RM-020-0201
GM-2025-000104,B2025-00013,RM-010,58.76,kg,2025-01-27 01:00:00,RAW1,LOT-RM-015-0172
GM-2025-000105,B2025-00013,RM-019,43.03,pcs,2025-01-27 08:00:00,RAW1,LOT-RM-003-0087
GM-2025-000106,B2025-00013,RM-002,63.95,pcs,2025-01-26 12:00:00,COLD,LOT-RM-025-0037
GM-2025-000107,B2025-00013,RM-007,71.78,kg,2025-01-26 12:00:00,HAZ,LOT-RM-012-0049
GM-2025-000108,B2025-00013,RM-006,45.14,kg,2025-01-26 22:00:00,RAW1,LOT-RM-007-0092
GM-2025-000109,B2025-00013,RM-004,64.23,kg,2025-01-26 00:00:00,HAZ,LOT-RM-003-0208
GM-2025-000110,B2025-00013,RM-018,56.09,kg,2025-01-27 15:00:00,RAW1,LOT-RM-019-0218
GM-2025-000111,B2025-00013,RM-025,75.1,pcs,2025-01-27 06:00:00,RAW1,LOT-RM-014-0170
GM-2025-000112,B2025-00013,RM-022,86.66,pcs,2025-01-27 14:00:00,COLD,LOT-RM-012-0234
GM-2025-000113,B2025-00014,RM-001,29.68,pcs,2025-01-15 05:00:00,RAW2,LOT-RM-014-0073
GM-2025-000114,B2025-00014,RM-009,31.12,pcs,2025-01-14 01:00:00,RAW2,LOT-RM-012-0115
GM-2025-000115,B2025-00014,RM-017,57.2,pcs,2025-01-15 05:00:00,RAW2,LOT-RM-015-0075
GM-2025-000116,B2025-00014,RM-021,85.43,kg,2025-01-14 21:00:00,HAZ,LOT-RM-023-0104
GM-2025-000117,B2025-00014,RM-022,69.78,pcs,2025-01-14 08:00:00,HAZ,LOT-RM-009-0022
GM-2025-000118,B2025-00014,RM-005,84.02,pcs,2025-01-14 12:00:00,RAW1,LOT-RM-001-0126
GM-2025-000119,B2025-00014,RM-004,57.92,kg,2025-01-13 11:00:00,COLD,LOT-RM-021-0144
GM-2025-000120,B2025-00014,RM-015,59.66,L,2025-01-14 11:00:00,HAZ,LOT-RM-017-0079
GM-2025-000121,B2025-00014,RM-014,47.53,L,2025-01-14 12:00:00,COLD,LOT-RM-018-0198
GM-2025-000122,B2025-00014,RM-025,57.71,pcs,2025-01-15 00:00:00,RAW1,LOT-RM-010-0136
GM-2025-000123,B2025-00014,RM-002,37.79,pcs,2025-01-13 07:00:00,RAW2,LOT-RM-022-0243
GM-2025-000124,B2025-00015,RM-013,65.15,L,2025-01-14 16:00:00,RAW2,LOT-RM-006-0165
GM-2025-000125,B2025-00015,RM-003,39.58,kg,2025-01-14 17:00:00,RAW1,LOT-RM-011-0137
GM-2025-000126,B2025-00015,RM-015,29.33,L,2025-01-13 22:00:00,RAW1,LOT-RM-016-0078
GM-2025-000127,B2025-00015,RM-005,61.63,pcs,2025-01-14 21:00:00,RAW2,LOT-RM-006-0091
GM-2025-000128,B2025-00015,RM-019,35.38,pcs,2025-01-15 07:00:00,RAW1,LOT-RM-008-0211
GM-2025-000129,B2025-00015,RM-023,50.96,kg,2025-01-15 16:00:00,HAZ,LOT-RM-011-0190
GM-2025-000130,B2025-00016,RM-023,67.23,kg,2025-01-17 02:00:00,COLD,LOT-RM-019-0175
GM-2025-000131,B2025-00016,RM-012,58.25,pcs,2025-01-17 14:00:00,RAW1,LOT-RM-012-0234
GM-2025-000132,B2025-00016,RM-024,54.45,L,2025-01-16 07:00:00,RAW1,LOT-RM-019-0118
GM-2025-000133,B2025-00016,RM-005,78.79,pcs,2025-01-16 05:00:00,RAW2,LOT-RM-002-0183
GM-2025-000134,B2025-00016,RM-007,51.19,kg,2025-01-16 14:00:00,RAW1,LOT-RM-002-0183
GM-2025-000135,B2025-00016,RM-002,48.93,pcs,2025-01-16 07:00:00,HAZ,LOT-RM-016-0053
GM-2025-000136,B2025-00016,RM-025,44.4,pcs,2025-01-17 06:00:00,RAW1,LOT-RM-015-0012
GM-2025-000137,B2025-00017,RM-022,80.2,pcs,2025-01-18 07:00:00,RAW1,LOT-RM-014-0237
GM-2025-000138,B2025-00017,RM-009,35.45,pcs,2025-01-18 12:00:00,RAW1,LOT-RM-009-0232
GM-2025-000139,B2025-00017,RM-007,55.45,kg,2025-01-18 09:00:00,COLD,LOT-RM-010-0046
GM-2025-000140,B2025-00017,RM-013,63.33,L,2025-01-18 18:00:00,RAW2,LOT-RM-012-0096
GM-2025-000141,B2025-00017,RM-003,37.91,kg,2025-01-18 19:00:00,RAW1,LOT-RM-003-0040
GM-2025-000142,B2025-00017,RM-016,34.47,L,2025-01-18 03:00:00,RAW2,LOT-RM-017-0160
GM-2025-000143,B2025-00017,RM-002,58.56,pcs,2025-01-19 12:00:00,COLD,LOT-RM-003-0226
GM-2025-000144,B2025-00017,RM-004,67.95,kg,2025-01-18 21:00:00,COLD,LOT-RM-016-0053
GM-2025-000145,B2025-00017,RM-010,47.59,kg,2025-01-19 11:00:00,COLD,LOT-RM-025-0105
GM-2025-000146,B2025-00017,RM-023,68.4,kg,2025-01-19 14:00:00,RAW1,LOT-RM-002-0107
GM-2025-000147,B2025-00017,RM-001,34.9,pcs,2025-01-18 20:00:00,HAZ,LOT-RM-012-0072
GM-2025-000148,B2025-00018,RM-019,21.01,pcs,2025-01-23 23:00:00,COLD,LOT-RM-012-0154
GM-2025-000149,B2025-00018,RM-021,74.13,kg,2025-01-22 16:00:00,HAZ,LOT-RM-015-0011
GM-2025-000150,B2025-00018,RM-003,46.33,kg,2025-01-24 12:00:00,HAZ,LOT-RM-019-0033
GM-2025-000151,B2025-00018,RM-009,36.12,pcs,2025-01-24 10:00:00,RAW2,LOT-RM-004-0019
GM-2025-000152,B2025-00018,RM-012,76.93,pcs,2025-01-24 08:00:00,RAW1,LOT-RM-016-0030
GM-2025-000153,B2025-00018,RM-025,58.27,pcs,2025-01-23 02:00:00,HAZ,LOT-RM-024-0018
GM-2025-000154,B2025-00018,RM-002,78.48,pcs,2025-01-23 03:00:00,COLD,LOT-RM-006-0043
GM-2025-000155,B2025-00018,RM-024,36.04,L,2025-01-24 15:00:00,COLD,LOT-RM-019-0175
GM-2025-000156,B2025-00019,RM-016,63.12,L,2025-01-24 07:00:00,COLD,LOT-RM-014-0073
GM-2025-000157,B2025-00019,RM-018,71.89,kg,2025-01-25 01:00:00,COLD,LOT-RM-014-0028
GM-2025-000158,B2025-00019,RM-005,69.5,pcs,2025-01-25 13:00:00,RAW1,LOT-RM-020-0102
GM-2025-000159,B2025-00019,RM-024,50.51,L,2025-01-24 01:00:00,RAW1,LOT-RM-021-0143
GM-2025-000160,B2025-00019,RM-010,41.52,kg,2025-01-24 20:00:00,RAW2,LOT-RM-019-0033
GM-2025-000161,B2025-00019,RM-015,53.47,L,2025-01-24 22:00:00,RAW1,LOT-RM-020-0121
GM-2025-000162,B2025-00019,RM-013,60.93,L,2025-01-24 19:00:00,RAW1,LOT-RM-015-0029
GM-2025-000163,B2025-00019,RM-004,59.52,kg,2025-01-24 03:00:00,RAW1,LOT-RM-010-0214
GM-2025-000164,B2025-00019,RM-020,66.36,pcs,2025-01-24 13:00:00,RAW2,LOT-RM-009-0022
GM-2025-000165,B2025-00019,RM-021,58.99,kg,2025-01-25 13:00:00,RAW1,LOT-RM-025-0062
GM-2025-000166,B2025-00019,RM-012,59.01,pcs,2025-01-24 16:00:00,COLD,LOT-RM-009-0113
GM-2025-000167,B2025-00020,RM-024,62.87,L,2025-01-27 21:00:00,RAW1,LOT-RM-014-0170
GM-2025-000168,B2025-00020,RM-009,41.33,pcs,2025-01-28 01:00:00,RAW2,LOT-RM-017-0197
GM-2025-000169,B2025-00020,RM-007,54.68,kg,2025-01-27 06:00:00,COLD,LOT-RM-015-0012
GM-2025-000170,B2025-00020,RM-020,45.6,pcs,2025-01-28 05:00:00,RAW1,LOT-RM-022-0243
GM-2025-000171,B2025-00020,RM-018,73.48,kg,2025-01-27 02:00:00,COLD,LOT-RM-023-0221
GM-2025-000172,B2025-00020,RM-010,67.05,kg,2025-01-27 09:00:00,RAW2,LOT-RM-005-0090
GM-2025-000173,B2025-00020,RM-002,57.77,pcs,2025-01-27 22:00:00,RAW2,LOT-RM-009-0231
GM-2025-000174,B2025-00021,RM-016,17.98,L,2025-01-30 01:00:00,HAZ,LOT-RM-003-0040
GM-2025-000175,B2025-00021,RM-020,61.51,pcs,2025-01-29 18:00:00,RAW1,LOT-RM-022-0058
GM-2025-000176,B2025-00021,RM-019,40.38,pcs,2025-01-29 11:00:00,RAW2,LOT-RM-002-0086
GM-2025-000177,B2025-00021,RM-001,51.26,pcs,2025-01-30 18:00:00,HAZ,LOT-RM-011-0007
GM-2025-000178,B2025-00021,RM-025,73.47,pcs,2025-01-30 04:00:00,RAW1,LOT-RM-016-0216
GM-2025-000179,B2025-00022,RM-014,51.97,L,2025-01-26 05:00:00,COLD,LOT-RM-021-0143
GM-2025-000180,B2025-00022,RM-021,73.48,kg,2025-01-25 01:00:00,RAW2,LOT-RM-018-0141
GM-2025-000181,B2025-00022,RM-003,50.58,kg,2025-01-25 11:00:00,RAW1,LOT-RM-015-0029
GM-2025-000182,B2025-00022,RM-019,20.69,pcs,2025-01-26 10:00:00,RAW1,LOT-RM-025-0105
GM-2025-000183,B2025-00022,RM-013,38.3,L,2025-01-26 00:00:00,RAW1,LOT-RM-016-0159
GM-2025-000184,B2025-00022,RM-009,54.68,pcs,2025-01-26 13:00:00,RAW2,LOT-RM-008-0186
GM-2025-000185,B2025-00022,RM-010,30.93,kg,2025-01-25 11:00:00,COLD,LOT-RM-014-0010
GM-2025-000186,B2025-00022,RM-020,52.56,pcs,2025-01-25 00:00:00,RAW1,LOT-RM-020-0176
GM-2025-000187,B2025-00023,RM-016,54.21,L,2025-01-26 13:00:00,HAZ,LOT-RM-002-0001
GM-2025-000188,B2025-00023,RM-022,53.28,pcs,2025-01-28 01:00:00,RAW1,LOT-RM-004-0209
GM-2025-000189,B2025-00023,RM-010,30.47,kg,2025-01-27 13:00:00,RAW1,LOT-RM-021-0220
GM-2025-000190,B2025-00023,RM-024,60.09,L,2025-01-27 03:00:00,RAW1,LOT-RM-023-0145
GM-2025-000191,B2025-00023,RM-019,50.36,pcs,2025-01-27 23:00:00,RAW1,LOT-RM-008-0006
GM-2025-000192,B2025-00023,RM-008,61.42,kg,2025-01-28 06:00:00,HAZ,LOT-RM-018-0240
GM-2025-000193,B2025-00023,RM-015,45.06,L,2025-01-28 01:00:00,HAZ,LOT-RM-014-0073
GM-2025-000194,B2025-00023,RM-001,36.53,pcs,2025-01-28 08:00:00,HAZ,LOT-RM-015-0116
GM-2025-000195,B2025-00024,RM-025,59.94,pcs,2025-02-01 17:00:00,HAZ,LOT-RM-014-0157
GM-2025-000196,B2025-00024,RM-008,49.35,kg,2025-01-31 14:00:00,COLD,LOT-RM-001-0163
GM-2025-000197,B2025-00024,RM-014,65.74,L,2025-02-01 03:00:00,HAZ,LOT-RM-014-0236
GM-2025-000198,B2025-00024,RM-015,46.61,L,2025-01-31 07:00:00,HAZ,LOT-RM-012-0138
GM-2025-000199,B2025-00024,RM-006,42.02,kg,2025-01-31 21:00:00,RAW2,LOT-RM-025-0037
GM-2025-000200,B2025-00024,RM-007,33.06,kg,2025-01-31 16:00:00,RAW2,LOT-RM-018-0100
GM-2025-000201,B2025-00024,RM-013,36.55,L,2025-01-31 14:00:00,RAW2,LOT-RM-011-0095
GM-2025-000202,B2025-00024,RM-002,41.47,pcs,2025-02-01 21:00:00,RAW1,LOT-RM-007-0111
GM-2025-000203,B2025-00025,RM-008,32.32,kg,2025-02-02 18:00:00,RAW1,LOT-RM-019-0118
GM-2025-000204,B2025-00025,RM-011,59.59,L,2025-02-03 11:00:00,RAW2,LOT-RM-023-0103
GM-2025-000205,B2025-00025,RM-018,61.35,kg,2025-02-02 17:00:00,COLD,LOT-RM-017-0054
GM-2025-000206,B2025-00025,RM-004,57.31,kg,2025-02-03 10:00:00,HAZ,LOT-RM-004-0227
GM-2025-000207,B2025-00025,RM-020,46.73,pcs,2025-02-03 11:00:00,HAZ,LOT-RM-009-0188
GM-2025-000208,B2025-00025,RM-022,62.36,pcs,2025-02-03 13:00:00,HAZ,LOT-RM-025-0244
GM-2025-000209,B2025-00025,RM-013,64.62,L,2025-02-03 09:00:00,HAZ,LOT-RM-009-0094
GM-2025-000210,B2025-00025,RM-005,62.42,pcs,2025-02-03 06:00:00,COLD,LOT-RM-014-0171
GM-2025-000211,B2025-00025,RM-016,23.64,L,2025-02-03 10:00:00,RAW2,LOT-RM-008-0186
GM-2025-000212,B2025-00026,RM-012,70.9,pcs,2025-01-28 09:00:00,RAW2,LOT-RM-002-0183
GM-2025-000213,B2025-00026,RM-021,88.57,kg,2025-01-28 06:00:00,RAW2,LOT-RM-022-0243
GM-2025-000214,B2025-00026,RM-025,39.07,pcs,2025-01-29 16:00:00,COLD,LOT-RM-009-0231
GM-2025-000215,B2025-00026,RM-022,57.34,pcs,2025-01-28 23:00:00,HAZ,LOT-RM-012-0096
GM-2025-000216,B2025-00026,RM-010,52.89,kg,2025-01-29 11:00:00,COLD,LOT-RM-017-0055
GM-2025-000217,B2025-00026,RM-002,52.23,pcs,2025-01-28 19:00:00,RAW2,LOT-RM-020-0121
GM-2025-000218,B2025-00026,RM-003,27.67,kg,2025-01-28 00:00:00,HAZ,LOT-RM-016-0077
GM-2025-000219,B2025-00026,RM-024,47.41,L,2025-01-29 09:00:00,HAZ,LOT-RM-019-0014
GM-2025-000220,B2025-00027,RM-015,56.72,L,2025-01-29 19:00:00,COLD,LOT-RM-019-0142
GM-2025-000221,B2025-00027,RM-010,31.87,kg,2025-01-29 16:00:00,HAZ,LOT-RM-018-0240
GM-2025-000222,B2025-00027,RM-001,27.61,pcs,2025-01-30 15:00:00,HAZ,LOT-RM-011-0047
GM-2025-000223,B2025-00027,RM-025,62.42,pcs,2025-01-30 10:00:00,RAW1,LOT-RM-023-0178
GM-2025-000224,B2025-00027,RM-011,58.2,L,2025-01-29 19:00:00,HAZ,LOT-RM-024-0146
GM-2025-000225,B2025-00027,RM-024,55.09,L,2025-01-31 00:00:00,RAW2,LOT-RM-010-0070
GM-2025-000226,B2025-00027,RM-016,42.57,L,2025-01-31 05:00:00,RAW2,LOT-RM-006-0165
GM-2025-000227,B2025-00027,RM-018,69.75,kg,2025-01-30 07:00:00,RAW2,LOT-RM-002-0039
GM-2025-000228,B2025-00028,RM-009,58.19,pcs,2025-01-30 19:00:00,HAZ,LOT-RM-001-0063
GM-2025-000229,B2025-00028,RM-006,44.12,kg,2025-01-31 22:00:00,RAW2,LOT-RM-017-0196
GM-2025-000230,B2025-00028,RM-019,47.59,pcs,2025-01-31 06:00:00,COLD,LOT-RM-014-0157
GM-2025-000231,B2025-00028,RM-023,60.32,kg,2025-01-31 23:00:00,RAW1,LOT-RM-017-0174
GM-2025-000232,B2025-00028,RM-002,53.04,pcs,2025-01-30 05:00:00,RAW1,LOT-RM-009-0022
GM-2025-000233,B2025-00028,RM-004,85.48,kg,2025-01-30 00:00:00,RAW1,LOT-RM-014-0236
GM-2025-000234,B2025-00028,RM-015,66.55,L,2025-01-30 02:00:00,COLD,LOT-RM-021-0219
GM-2025-000235,B2025-00028,RM-016,28.47,L,2025-01-30 04:00:00,COLD,LOT-RM-015-0239
GM-2025-000236,B2025-00028,RM-024,61.2,L,2025-01-30 21:00:00,RAW2,LOT-RM-011-0191
GM-2025-000237,B2025-00028,RM-017,56.47,pcs,2025-01-30 08:00:00,RAW2,LOT-RM-017-0079
GM-2025-000238,B2025-00028,RM-013,48.46,L,2025-01-30 03:00:00,COLD,LOT-RM-017-0160
GM-2025-000239,B2025-00029,RM-001,56.35,pcs,2025-01-31 14:00:00,HAZ,LOT-RM-022-0122
GM-2025-000240,B2025-00029,RM-009,38.56,pcs,2025-01-30 22:00:00,RAW2,LOT-RM-015-0075
